,Load (g),T Score,P Score,Significant,Absolute Delta (um),Percent Delta
0,200.0,0.12450008555239649,0.4505299093874909,0.0,-3.2578888888888855,-1.4453618136798911
1,400.0,0.22660942787669014,0.41048683244713285,0.0,-7.196421052631479,-3.6460602699105937
2,600.0,2.1885997152378573,0.015046912021842138,1.0,-43.16812500000003,-23.026776391328195
3,800.0,4.153778904479689,2.75283013351367e-05,1.0,-62.74946666666665,-32.74067426361119
4,1000.0,3.5763274518104495,0.000224419967254404,1.0,-87.45022222222221,-39.03946445560161
5,1200.0,4.844047432872458,1.3769964328686368e-06,1.0,-150.65100000000007,-49.34376162301087
