Timestamp (s),Position (mm),Force (N),Torque,Stage
1539655349.371155,-11.2298,0.22163144399999998,-1146,0
1539655349.403239,-11.0407,0.2641165920000018,-946,0
1539655349.435199,-10.8507,0.3066017400000013,-912,0
1539655349.4676049,-10.6609,0.2641165920000018,-892,0
1539655349.499209,-10.4678,0.3490868880000008,-874,0
1539655349.5312629,-10.2781,0.43405718399999993,-872,0
1539655349.563475,-10.0848,0.43405718399999993,-792,0
1539655349.595308,-9.8946,0.47654233200000173,-862,0
1539655349.62734,-9.7057,0.47654233200000173,-834,0
1539655349.65938,-9.5132,0.5615126280000009,-720,0
1539655349.691287,-9.3241,0.646482924,-682,0
1539655349.723284,-9.1345,0.7314532200000012,-622,0
1539655349.755571,-8.9479,0.7739383680000007,-580,0
1539655349.787458,-8.7576,0.8164235160000004,-540,0
1539655349.819289,-8.5657,0.9438789600000013,-554,0
1539655349.851392,-8.3774,1.0288492560000004,-486,0
1539655349.883532,-8.1861,1.1138195520000018,-452,0
1539655349.915336,-7.9956,1.1987898480000008,-362,0
1539655349.947525,-7.8057,1.368730440000001,-368,0
1539655349.979601,-7.6147,1.4537007360000003,-366,0
1539655350.0114639,-7.4247,1.5811561800000011,-298,0
1539655350.043659,-7.2341,1.6661264760000003,-308,0
1539655350.075878,-7.0428,1.7935819200000012,-314,0
1539655350.107588,-6.8503,1.921037364000002,-250,0
1539655350.139816,-6.6629,2.0484928080000007,-143,0
1539655350.171527,-6.4811,2.218433400000001,313,0
1539655350.2035258,-6.2851,2.345888844000002,349,0
1539655350.235523,-6.0957,2.515829436,435,0
1539655350.267617,-5.9091,2.6857700280000003,517,0
1539655350.299625,-5.7206,2.8981957680000003,567,0
1539655350.3317928,-5.534,3.110621508000001,767,0
1539655350.3638809,-5.349,3.3230472480000004,929,0
1539655350.395701,-5.1651,3.5354729880000004,999,0
1539655350.427943,-4.9832,3.790383876,1221,0
1539655350.460014,-4.7937,4.002809616,1383,0
1539655350.491688,-4.6093,4.257720504000002,1503,0
1539655350.5238569,-4.4267,4.555116540000001,1637,0
1539655350.556052,-4.2401,4.810027428000001,1711,0
1539655350.58805,-4.0545,5.064938316000003,1895,0
1539655350.619859,-3.87,5.447304648,2039,0
1539655350.651933,-3.6881,5.702215536000002,2275,0
1539655350.68379,-3.5057,6.084581868,2531,0
1539655350.715847,-3.3227,6.424463052000001,2641,0
1539655350.747905,-3.1424,6.764344236000002,2785,0
1539655350.7798982,-2.9587,7.189195716000002,3075,0
1539655350.811925,-2.7778,7.614047196000001,3287,0
1539655350.844055,-2.6013,8.081383824000001,3669,0
1539655350.875854,-2.4235,8.548720452000001,3871,0
1539655350.908022,-2.2482,9.101027376000001,4249,0
1539655350.940151,-2.0701,9.780789744000003,4525,0
1539655350.9719229,-1.8935,10.375581816000002,4913,0
1539655351.0043058,-1.724,11.140314480000002,5299,0
1539655351.03636,-1.5502,11.99001744,5761,0
1539655351.0681422,-1.3836,12.924690696,6347,0
1539655351.10016,-1.2254,13.901849100000002,6979,0
1539655351.132566,-1.0673,15.303858984000001,7761,0
1539655351.18013,-0.9162,16.833324312000002,8629,1
1539655351.2120728,-0.7689,18.022908456,8661,1
1539655351.24422,-0.7568,17.51308668,8509,1
1539655351.2761998,-0.75,17.428116384,8413,1
1539655351.30827,-0.7453,17.215690644000002,8325,1
1539655351.340647,-0.7416,17.088235200000003,8223,1
1539655351.372152,-0.7386,16.918294608000004,8197,1
1539655351.404224,-0.7361,16.87580946,8151,1
1539655351.436416,-0.7341,16.748354016,8081,1
1539655351.468593,-0.7324,16.663383720000002,8047,1
1539655351.500248,-0.7308,16.663383720000002,8015,1
1539655351.5323331,-0.7294,16.535928276000003,8019,1
1539655351.564403,-0.7281,16.535928276000003,7993,1
1539655351.596374,-0.7271,16.450957980000002,7941,1
1539655351.62883,-0.7261,16.408472832,7953,1
1539655351.660855,-0.725,16.408472832,7933,1
1539655351.692393,-0.7243,16.408472832,7917,1
1539655351.724467,-0.7233,16.281017388000002,7899,1
1539655351.756521,-0.7228,16.365987684000004,7887,1
1539655351.788414,-0.7219,16.281017388000002,7871,1
1539655351.8204942,-0.7215,16.196047092,7861,1
1539655351.852588,-0.7208,16.196047092,7849,1
1539655351.8843598,-0.72,16.281017388000002,7835,1
1539655351.916522,-0.7197,16.111076796000003,7825,1
1539655351.948769,-0.719,16.111076796000003,7811,1
1539655351.980578,-0.7184,16.111076796000003,7801,1
1539655352.012608,-0.718,16.153561944000003,7793,1
1539655352.0444958,-0.7175,16.068591648,7783,1
1539655352.07648,-0.7169,16.0261065,7741,1
1539655352.1084669,-0.7167,15.983621352,7767,1
1539655352.14062,-0.7163,16.068591648,7759,1
1539655352.17288,-0.7158,15.983621352,7749,1
1539655352.2049642,-0.7154,15.983621352,7743,1
1539655352.2367418,-0.7152,15.983621352,7737,1
1539655352.268542,-0.7149,15.983621352,7731,1
1539655352.300683,-0.7145,15.941136204000003,7723,1
1539655352.3326879,-0.7141,15.941136204000003,7715,1
1539655352.3646898,-0.7137,15.941136204000003,7707,1
1539655352.396853,-0.7135,15.941136204000003,7705,1
1539655352.429044,-0.7132,15.941136204000003,7699,1
1539655352.46083,-0.713,15.941136204000003,7693,1
1539655352.493025,-0.7126,15.856165908000003,7685,1
1539655352.524998,-0.7122,15.81368076,7679,1
1539655352.5568058,-0.7121,15.81368076,7677,1
1539655352.588825,-0.7119,15.898651056,7671,1
1539655352.6213188,-0.7117,15.898651056,7669,1
1539655352.652877,-0.7115,15.856165908000003,7663,1
1539655352.6852632,-0.7111,15.898651056,7657,1
1539655352.716958,-0.7108,15.898651056,7649,1
1539655352.7491689,-0.7105,15.771195612,7645,1
1539655352.781169,-0.7104,15.898651056,7643,1
1539655352.8132758,-0.7103,15.856165908000003,7641,1
1539655352.845172,-0.7101,15.728710464000004,7635,1
1539655352.877076,-0.7099,15.771195612,7633,1
1539655352.9091341,-0.7097,15.771195612,7629,1
1539655352.941159,-0.7094,15.771195612,7621,1
1539655352.9731479,-0.7091,15.771195612,7617,1
1539655353.0053928,-0.709,15.728710464000004,7615,1
1539655353.0371342,-0.7089,15.771195612,7613,1
1539655353.069449,-0.7088,15.686225316,7609,1
1539655353.101265,-0.7086,15.81368076,7607,1
1539655353.133163,-0.7085,15.771195612,7605,1
1539655353.165279,-0.7083,15.686225316,7601,1
1539655353.197313,-0.7082,15.771195612,7599,1
1539655353.2294679,-0.708,15.686225316,7593,1
1539655353.26143,-0.7079,15.643740168000004,7591,1
1539655353.293304,-0.7076,15.728710464000004,7585,1
1539655353.325452,-0.7074,15.601255020000002,7583,1
1539655353.357492,-0.7073,15.643740168000004,7581,1
1539655353.389528,-0.7072,15.771195612,7579,1
1539655353.421428,-0.7072,15.601255020000002,7579,1
1539655353.453428,-0.7071,15.728710464000004,7577,1
1539655353.485569,-0.707,15.643740168000004,7573,1
1539655353.517374,-0.7068,15.643740168000004,7571,1
1539655353.54949,-0.7068,15.643740168000004,7569,1
1539655353.5814168,-0.7066,15.686225316,7567,1
1539655353.613421,-0.7065,15.643740168000004,7563,1
1539655353.6454551,-0.7063,15.686225316,7559,1
1539655353.677693,-0.7061,15.686225316,7557,1
1539655353.7094269,-0.7059,15.643740168000004,7551,1
1539655353.7416441,-0.7058,15.686225316,7551,1
1539655353.773785,-0.7057,15.686225316,7549,1
1539655353.805673,-0.7057,15.643740168000004,7549,1
1539655353.8375318,-0.7057,15.601255020000002,7547,1
1539655353.869822,-0.7056,15.643740168000004,7545,1
1539655353.901561,-0.7055,15.601255020000002,7543,1
1539655353.934077,-0.7054,15.686225316,7543,1
1539655353.965861,-0.7053,15.643740168000004,7541,1
1539655353.997611,-0.7052,15.601255020000002,7539,1
1539655354.029821,-0.7051,15.643740168000004,7537,1
1539655354.061773,-0.705,15.686225316,7535,1
1539655354.09367,-0.7049,15.643740168000004,7531,1
1539655354.1258602,-0.7047,15.601255020000002,7529,1
1539655354.1577978,-0.7046,15.601255020000002,7527,1
1539655354.1898181,-0.7044,15.601255020000002,7523,1
1539655354.22175,-0.7043,15.686225316,7521,1
1539655354.253897,-0.7042,15.558769872000001,7519,1
1539655354.2857862,-0.7042,15.643740168000004,7517,1
1539655354.3181849,-0.7041,15.601255020000002,7517,1
1539655354.349934,-0.7041,15.601255020000002,7517,1
1539655354.3818,-0.7041,15.558769872000001,7485,1
1539655354.413957,-0.704,15.601255020000002,7515,1
1539655354.4459689,-0.704,15.601255020000002,7515,1
